Index,SingularValue,Energy,CumulativeEnergy
406,0.252619,0.063816,100.00
407,0.237124,0.056228,100.00
408,0.219308,0.048096,100.00
409,0.199559,0.039824,100.00
410,0.173706,0.030174,100.00
411,0.147870,0.021866,100.00
412,0.141275,0.019959,100.00
413,0.117631,0.013837,100.00
414,0.108852,0.011849,100.00
415,0.103598,0.010732,100.00
416,0.094479,0.008926,100.00
417,0.081260,0.006603,100.00
418,0.067046,0.004495,100.00
419,0.053234,0.002834,100.00
420,0.045666,0.002085,100.00
421,0.034067,0.001161,100.00
422,0.029172,0.000851,100.00
423,0.025785,0.000665,100.00
424,0.013564,0.000184,100.00
425,0.000000,0.000000,100.00
426,0.000000,0.000000,100.00
427,0.000000,0.000000,100.00
428,0.000000,0.000000,100.00
429,0.000000,0.000000,100.00
430,0.000000,0.000000,100.00
431,0.000000,0.000000,100.00
432,0.000000,0.000000,100.00
433,0.000000,0.000000,100.00
434,0.000000,0.000000,100.00
435,0.000000,0.000000,100.00
436,0.000000,0.000000,100.00
437,0.000000,0.000000,100.00
438,0.000000,0.000000,100.00
439,0.000000,0.000000,100.00
440,0.000000,0.000000,100.00
441,0.000000,0.000000,100.00
442,0.000000,0.000000,100.00
443,0.000000,0.000000,100.00
444,0.000000,0.000000,100.00
445,0.000000,0.000000,100.00
446,0.000000,0.000000,100.00
447,0.000000,0.000000,100.00
448,0.000000,0.000000,100.00
449,0.000000,0.000000,100.00
450,0.000000,0.000000,100.00
451,0.000000,0.000000,100.00
452,0.000000,0.000000,100.00
453,0.000000,0.000000,100.00
454,0.000000,0.000000,100.00
455,0.000000,0.000000,100.00
456,0.000000,0.000000,100.00
457,0.000000,0.000000,100.00
458,0.000000,0.000000,100.00
459,0.000000,0.000000,100.00
460,0.000000,0.000000,100.00
461,0.000000,0.000000,100.00
462,0.000000,0.000000,100.00
